"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var12","pregnant_number","na","NA","NA",1.53571428571429,NA,1.1622924421853,1.90913612924327,NA,NA
"113","memb_left",NA,"no","NA",0.3,NA,0.220100897520191,0.379899102479809,NA,NA
"27","memb_left",NA,"yes","NA",0.7,NA,0.620100897520191,0.779899102479809,NA,NA
"dependent.var13","memb_left_nr",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"114","governorate_origin",NA,"aleppo","NA",0.1,NA,0.0476937592753199,0.15230624072468,NA,NA
"28","governorate_origin",NA,"hasakah","NA",0.9,NA,0.84769375927532,0.95230624072468,NA,NA
"dependent.var14","governorate_or_other",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"115","district_origin",NA,"afrin","NA",0.0333333333333333,NA,0.00203580813954976,0.0646308585271169,NA,NA
"29","district_origin",NA,"ain_al_arab","NA",0.0666666666666667,NA,0.0231751040040278,0.110158229329305,NA,NA
"33","district_origin",NA,"al_hasakeh","NA",0.0444444444444444,NA,0.00851347248783381,0.0803754164010551,NA,NA
"43","district_origin",NA,"al_malikeyyeh","NA",0.0222222222222222,NA,-0.0034785443967068,0.0479229888411512,NA,NA
"51","district_origin",NA,"quamishli","NA",0.466666666666667,NA,0.379683541341389,0.553649791991944,NA,NA
"6","district_origin",NA,"ras_al_ain","NA",0.366666666666667,NA,0.28264638331909,0.450686950014243,NA,NA
"dependent.var15","district_or_other",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"116","subdistrict_origin",NA,"afrin","NA",0.0222222222222222,NA,-0.0034785443967068,0.0479229888411512,NA,NA
"210","subdistrict_origin",NA,"ain_al_arab","NA",0.0666666666666667,NA,0.0231751040040278,0.110158229329305,NA,NA
"34","subdistrict_origin",NA,"al_hasakeh","NA",0.0222222222222222,NA,-0.00347854439670681,0.0479229888411512,NA,NA
"44","subdistrict_origin",NA,"al_malikeyyeh","NA",0.0222222222222222,NA,-0.0034785443967068,0.0479229888411512,NA,NA
"52","subdistrict_origin",NA,"amuda","NA",0.0666666666666667,NA,0.0231751040040278,0.110158229329305,NA,NA
"61","subdistrict_origin",NA,"darbasiyah","NA",0.111111111111111,NA,0.0563168925706708,0.165905329651551,NA,NA
"7","subdistrict_origin",NA,"jandairis","NA",0.0111111111111111,NA,-0.00716504029946074,0.029387262521683,NA,NA
"8","subdistrict_origin",NA,"qahtaniyyeh","NA",0.0444444444444444,NA,0.00851347248783382,0.0803754164010551,NA,NA
"9","subdistrict_origin",NA,"quamishli","NA",0.355555555555556,NA,0.272095488372133,0.439015622738978,NA,NA
"10","subdistrict_origin",NA,"ras_al_ain","NA",0.255555555555556,NA,0.179506983576934,0.331604127534177,NA,NA
"11","subdistrict_origin",NA,"tal_tamer","NA",0.0222222222222222,NA,-0.00347854439670681,0.0479229888411512,NA,NA
"dependent.var16","subdistrict_or_other",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"117","origin_from_location",NA,"no","NA",0.666666666666667,NA,0.584475338856006,0.748857994477327,NA,NA
"211","origin_from_location",NA,"yes","NA",0.333333333333333,NA,0.251142005522673,0.415524661143994,NA,NA
"118","wait_border",NA,"2_4_hours","NA",0.211111111111111,NA,0.139957701020816,0.282264521201406,NA,NA
"212","wait_border",NA,"4_8_hours","NA",0.233333333333333,NA,0.159589800968387,0.30707686569828,NA,NA
"35","wait_border",NA,"8_24_hours","NA",0.288888888888889,NA,0.209863543070274,0.367914234707504,NA,NA
"45","wait_border",NA,"less_2_hours","NA",0.155555555555556,NA,0.0923637800411857,0.218747331069925,NA,NA
"53","wait_border",NA,"three_days","NA",0.0555555555555556,NA,0.0156177490024371,0.095493362108674,NA,NA
