"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var40","stop_points_loc_district.a_zaz","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var41","stop_points_loc_district.jarablus","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var42","stop_points_loc_district.jebel_saman","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var43","stop_points_loc_district.menbij","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var44","stop_points_loc_district.al_hasakeh","na","NA","NA","0.09 (0.01-0)",NA,0.00763951052863597,0.179860489471364,NA,NA,NA
"dependent.var45","stop_points_loc_district.al_malikeyyeh","na","NA","NA","0.44 (0.29-1)",NA,0.290946328844224,0.584053671155776,NA,NA,NA
"dependent.var46","stop_points_loc_district.quamishli","na","NA","NA","0.44 (0.29-1)",NA,0.290946328844224,0.584053671155776,NA,NA,NA
"dependent.var47","stop_points_loc_district.ras_al_ain","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var48","stop_points_loc_district.ar_raqqa","na","NA","NA","0.09 (0.01-0)",NA,0.00763951052863601,0.179860489471364,NA,NA,NA
"dependent.var49","stop_points_loc_district.ath_thawrah","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var50","stop_points_loc_district.tell_abiad","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var51","stop_points_loc_district.abu_kamal","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var52","stop_points_loc_district.al_mayadin","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var53","stop_points_loc_district.deir_ez_zor","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var54","stop_points_location",NA,NA,"NA","NA ",NA,NA,NA,NA,NA,NA
"dependent.var55","stop_points_location.afrin","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var56","stop_points_location.bulbul","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var57","stop_points_location.jandairis","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var58","stop_points_location.ma_btali","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var59","stop_points_location.raju","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var60","stop_points_location.sharan","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var61","stop_points_location.sheikh_el_hadid","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var62","stop_points_location.ain_al_arab","na","NA","NA","0.03 (-0.02-0)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"dependent.var63","stop_points_location.lower_shyookh","na","NA","NA","0",NA,0,0,NA,NA,NA
